comments,filtered_tokens
Me!!!! I play pubg on steam. Can u add me? peasantofsiliconvalley,"['play', 'pubg', 'steam', 'u', 'add', 'peasantofsiliconvalley']"
Hi! I'm know i'm a little late to the party... i just started playing fortnite after seeing my siblings play! I would definitely be down for some games! :D,"['hi', 'know', 'little', 'late', 'party', 'started', 'playing', 'fortnite', 'seeing', 'siblings', 'play', 'would', 'definitely', 'games']"
"Hey let’s play tgt! Im also LF local players, new here","['hey', 'let', 'play', 'tgt', 'im', 'also', 'lf', 'local', 'players']"
Im KingOfTheFall237,"['im', 'kingofthefall237']"
"It looks fun, what's your friend code?","['looks', 'fun', 'friend', 'code']"
11269360,['11269360']
added,['added']
What sort of games do you like? And systems you own?,"['sort', 'games', 'like', 'systems']"
"Sadly I am not financially fortunate enough to own a desktop (which I want at some point:<) to play what I want like Warzone, etc but I usually play League Of Legends,  Valorant, Rainbow Six Seige, Among Us, Fall Guy, all the games that doesn't require much.","['sadly', 'financially', 'fortunate', 'enough', 'desktop', 'want', 'point', 'play', 'want', 'like', 'warzone', 'etc', 'usually', 'play', 'league', 'legends', 'valorant', 'rainbow', 'six', 'seige', 'among', 'us', 'fall', 'guy', 'games', 'require', 'much']"
[removed],['removed']
when the imposter is sus!,"['imposter', 'sus']"
"Yeah but it's hard to get into a game now. Too many Filipinos, so it's hard when you don't speak their language","['yeah', 'hard', 'get', 'game', 'many', 'filipinos', 'hard', 'speak', 'language']"
"Why not, maybe someone can create a discord chat or sth","['maybe', 'someone', 'create', 'discord', 'chat', 'sth']"
is the discord for among us still alive?,"['discord', 'among', 'us', 'still', 'alive']"
"I was thinking of having us form a group together, so we dont need to keep going to matchmaking","['thinking', 'us', 'form', 'group', 'together', 'dont', 'need', 'keep', 'going', 'matchmaking']"
">Ok, sure. https://discord.gg/t7cqW9E","['ok', 'sure']"
Nope. I never even came alive,"['nope', 'never', 'even', 'came', 'alive']"
"Sure, why not? If there's enough ppl, I'm in","['sure', 'enough', 'ppl']"
"Ok, let's try out a discord.

Heres a link: [https://discord.gg/t7cqW9E](https://discord.gg/t7cqW9E)","['ok', 'let', 'try', 'discord', 'heres', 'link']"
This the first time i heard of such thing,"['first', 'time', 'heard', 'thing']"
[deleted],['deleted']
I’m just looking for people to play with cause playing alone gets pretty taxing at times,"['looking', 'people', 'play', 'cause', 'playing', 'alone', 'gets', 'pretty', 'taxing', 'times']"
[deleted],['deleted']
sweet,['sweet']
I will see what i can find and get back to you! I have already posted many photos of Singaporean Quake clans and LAN parties here: https://dondeq2.com/2018/03/06/singaporean-quake-clans-pepper-crab-clan-evil-dawgs-trifixion-no-mercy-and-clan-thresh/,"['see', 'find', 'get', 'back', 'already', 'posted', 'many', 'photos', 'singaporean', 'quake', 'clans', 'lan', 'parties']"
Just hopped into the Wayback machine! Check out these photos (not exactly your request but from 1999): ZoneX Quake 3 Test FFA Tournament '99 https://web.archive.org/web/20010823084008/http://epicenter.com.sg:80/events/zonex99/,"['hopped', 'wayback', 'machine', 'check', 'photos', 'exactly', 'request', '1999', 'zonex', 'quake', '3', 'test', 'ffa', 'tournament']"
"Thanks! Was looking for photos of the general scene in the halls with the rows of black monitors, cpus and participants, and the stalls that were outside the halls. I recall they rigged up one big projector screen to show player play his game (forgot who was it, i think it was Quake player).  


Used to have one website which posted small version of the event photos but no longer around. Should have saved those images for posterity! Believe most of the photos back then were digitally scanned from prints.  


If anyone has photo prints of the events, give a shoutout; i would gladly borrow them for scanning. :)","['thanks', 'looking', 'photos', 'general', 'scene', 'halls', 'rows', 'black', 'monitors', 'cpus', 'participants', 'stalls', 'outside', 'halls', 'recall', 'rigged', 'one', 'big', 'projector', 'screen', 'show', 'player', 'play', 'game', 'forgot', 'think', 'quake', 'player', 'used', 'one', 'website', 'posted', 'small', 'version', 'event', 'photos', 'longer', 'around', 'saved', 'images', 'posterity', 'believe', 'photos', 'back', 'digitally', 'scanned', 'prints', 'anyone', 'photo', 'prints', 'events', 'give', 'shoutout', 'would', 'gladly', 'borrow', 'scanning']"
It's good. I never had a problem with any matches... some how they have good enough servers.,"['good', 'never', 'problem', 'matches', 'good', 'enough', 'servers']"
