comments,filtered_tokens
Have ggs I haven’t finished my proud mode of KH3 but I’ll get to it,"['ggs', 'finished', 'proud', 'mode', 'kh3', 'get']"
Dude!! If you stream it I’ll check it out ! I’m just playing it for the first time after replaying the other 6 games lol,"['dude', 'stream', 'check', 'playing', 'first', 'time', 'replaying', '6', 'games', 'lol']"
I probably will tomorrow night since I’m taking a night off series X :) dropped you a follow tho either way!,"['probably', 'tomorrow', 'night', 'since', 'taking', 'night', 'series', 'x', 'dropped', 'follow', 'tho', 'either', 'way']"
"Ill be on tonight just not on my series X, playing league of legends and chillin out to my mixes and talking to whoever XD","['ill', 'tonight', 'series', 'x', 'playing', 'league', 'legends', 'chillin', 'mixes', 'talking', 'whoever', 'xd']"
I'll do a follow for follow :) my twitch is Terra_Universalis :) I've followed yours :),"['follow', 'follow', 'twitch', 'followed']"
"Damn I wanna be like you my boiiii
https://www.twitch.tv/BlazingCat_22?sr=a here's mine f4f","['damn', 'wan', 'na', 'like', 'boiiii', 'mine', 'f4f']"
"I'll follow for follow :) , I've followed yours :) and hazels mine is Terra_Universalis if you would like to follow :)","['follow', 'follow', 'followed', 'hazels', 'mine', 'would', 'like', 'follow']"
Got you,['got']
Thank you :),['thank']
Could do a follow for a follow if you like? My twitch is Terra_Universalis if you want to follow that :) I also have a youtube of the same name :) I've followed your twitch :),"['could', 'follow', 'follow', 'like', 'twitch', 'want', 'follow', 'also', 'youtube', 'name', 'followed', 'twitch']"
Yeah I can do a follow for a follow,"['yeah', 'follow', 'follow']"
Thank you :),['thank']
"HI! CAN I PLAY??

[https://www.twitch.tv/a0n1ght](https://www.twitch.tv/a0n1ght)","['hi', 'play']"
welcome! how is is going so far,"['welcome', 'going', 'far']"
